ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,name
12496,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,42.0,No,Jane Davis
24107,Married,Male,30000.0,3.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No,Sarah Martinez
14177,Married,Male,80000.0,5.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,60.0,No,David Martinez
24381,Single,,70000.0,0.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,41.0,Yes,Laura Brown
25597,Single,Male,30000.0,0.0,Bachelors,Clerical,No,0.0,0-1 Miles,Europe,36.0,Yes,David Smith
13507,Married,Female,10000.0,2.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,50.0,No,Laura Martinez
27974,Single,Male,160000.0,2.0,High School,Management,,4.0,0-1 Miles,Pacific,33.0,Yes,David Martinez
19364,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,43.0,Yes,Laura Jones
22155,,Male,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,58.0,No,Daniel Williams
19280,Married,Male,,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,,Yes,Daniel Martinez
22173,Married,Female,30000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,54.0,Yes,Emily Garcia
12697,Single,Female,90000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,36.0,No,Emily Garcia
11434,Married,Male,170000.0,5.0,Partial College,Professional,Yes,,0-1 Miles,Europe,55.0,No,John Davis
25323,Married,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,35.0,Yes,Michael Smith
23542,Single,Male,60000.0,1.0,Partial College,Skilled Manual,No,1.0,0-1 Miles,Pacific,45.0,Yes,Jane Miller
20870,Single,Female,10000.0,2.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,38.0,Yes,John Rodriguez
23316,Single,Male,30000.0,3.0,Partial College,Clerical,No,2.0,1-2 Miles,Pacific,59.0,Yes,John Smith
12610,Married,Female,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,No,Jessica Davis
27183,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,1.0,1-2 Miles,Europe,35.0,Yes,Robert Rodriguez
25940,Single,Male,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,55.0,Yes,Emily Johnson
25598,Married,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,36.0,Yes,Jane Brown
21564,Single,Female,80000.0,0.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,35.0,No,Emily Brown
19193,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,0.0,1-2 Miles,Europe,35.0,Yes,Jane Williams
26412,Married,Female,80000.0,5.0,High School,Management,No,3.0,5-10 Miles,Europe,56.0,No,Jane Brown
27184,Single,Male,40000.0,2.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,34.0,No,Jessica Davis
12590,Single,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,63.0,No,Michael Miller
17841,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,29.0,Yes,John Miller
18283,,Female,100000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,40.0,No,Sarah Jones
18299,Married,Male,70000.0,5.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,44.0,No,Jessica Brown
16466,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,32.0,Yes,Michael Garcia
19273,Married,Female,20000.0,2.0,Partial College,Manual,Yes,0.0,0-1 Miles,Europe,63.0,No,Daniel Garcia
22400,Married,Male,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,26.0,Yes,Laura Williams
20942,Single,Female,20000.0,0.0,High School,Manual,No,1.0,5-10 Miles,Europe,31.0,No,Jane Davis
18484,Single,Male,80000.0,2.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,50.0,Yes,John Miller
12291,Single,Male,90000.0,5.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,62.0,Yes,Jessica Johnson
28380,Single,Female,10000.0,5.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,41.0,No,John Rodriguez
17891,Married,Female,10000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,50.0,Yes,Michael Garcia
27832,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,Jessica Johnson
26863,Single,Male,20000.0,0.0,High School,Manual,No,1.0,2-5 Miles,Europe,28.0,No,John Davis
16259,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,40.0,Yes,Jane Smith
27803,Single,Female,30000.0,2.0,Partial College,Clerical,No,0.0,0-1 Miles,Europe,43.0,No,Michael Johnson
14347,Single,Female,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,65.0,Yes,John Garcia
17703,Married,Female,10000.0,1.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,40.0,No,Jane Williams
17185,Married,Female,170000.0,4.0,Partial College,Professional,No,3.0,5-10 Miles,Europe,48.0,Yes,Robert Rodriguez
